,distance,global_stop_id,location_type,parent_station_global_stop_id,route_type,rt_stop_id,stop_code,stop_lat,stop_lon,stop_name,wheelchair_boarding
440,12710,CATAMI:7907,0,,3,2844,2844,42.72566592767811,-84.47070396833142,Shaw / Bogue,0
441,15880,CATAMI:9905,0,,3,1804,1804,42.70276923193646,-84.56003345725593,Washington / Dunlap St,0
442,13432,CATAMI:9516,0,,3,5685,5685,42.72408312388765,-84.49107357393032,Birch / Wonders Halls,0
443,10728,CATAMI:10244,0,,3,4769,4769,42.64026646861971,-84.52674961163933,Holt Road / Adelphe,0
444,18643,CATAMI:8325,0,,3,4713,4713,42.69771505165099,-84.60257130912474,Holmes / Waverly,0
445,16749,CATAMI:9893,0,,3,1793,1793,42.68948627058123,-84.5822646559493,Pleasant Grove / Risdale St,0
446,10718,CATAMI:9668,0,,3,45,45,42.68587100283255,-84.49878974240886,Collins Rd / Post Office,0
447,14522,CATAMI:7878,0,,3,4824,4824,42.74345448391416,-84.47187308476755,Alton Across St. Thomas,0
448,13717,CATAMI:10087,0,,3,4457,4457,42.67906314789287,-84.54795558515025,Cedar / Armstrong Rd,0
449,12721,CATAMI:9185,0,,3,4537,4537,42.72577384611837,-84.47071296153477,Shaw / Bogue,0
450,14654,CATAMI:10220,0,,3,4371,4371,42.70627658124489,-84.53821594591686,Pennsylvania / Tisdale,0
451,17930,CATAMI:10357,0,,3,3502,3502,42.68029521675249,-84.60312888773274,Waverly / Hartford Rd,0
452,9699,CATAMI:9293,0,,3,5818,5818,42.70240950380227,-84.34280263021762,Grand River / Burkly,0
453,11330,CATAMI:8635,0,,3,5935,5935,42.69417172952915,-84.49889766084912,Collins / Technology Dr (South),0
454,15737,CATAMI:10344,0,,3,3489,3489,42.69066438022072,-84.5676417072942,MLK / Mary Ave,0
455,18752,CATAMI:8775,0,,3,5759,5759,42.71206820420546,-84.59351515334633,Mt Hope / Grand Haven Apts,0
456,18931,CATAMI:8327,0,,3,3614,3614,42.70281419795324,-84.60303895569919,Waverly / Sandhurst Dr,0
457,14963,CATAMI:9125,0,,3,3840,3840,42.74354441594771,-84.48367216756922,Abbot / Library Ln,0
458,10121,CATAMI:10269,0,,3,4452,4452,42.64330617135367,-84.51843989173938,Cedar / Decamp Ave,0
459,15964,CATAMI:9850,0,,3,1751,1751,42.71133076153036,-84.55311768387598,Washington / Mt Hope Av,0
460,16859,CATAMI:9865,0,,3,1765,1765,42.6915277277428,-84.58239955399964,Pleasant Grove / Mary,0
461,20758,CATAMI:8518,0,,3,3782,3782,42.76110814209989,-84.57084328768855,Grand River / Cynwood St,0
462,16425,CATAMI:10304,0,,3,3543,3543,42.7303783662361,-84.53789219059608,Pennsylvania / Kalamazoo,0
463,15874,CATAMI:9903,0,,3,1802,1802,42.69867732440997,-84.56341490171738,Washington / Berry Ave,0
464,23380,CATAMI:10032,0,,3,6156,6156,42.74096336658484,-84.63559435184403,Saginaw / Stone Ridge Dr,0
465,15915,CATAMI:10397,0,,3,4564,4564,42.66930552225277,-84.5822286831359,Miller / Grovenberg Rd,0
466,19307,CATAMI:8991,0,,3,4864,4864,42.71985631831082,-84.59489111345962,Old Lansing / Lansing Rd,0
467,15889,CATAMI:8059,0,,3,4834,4834,42.75823931022966,-84.46724158503977,Birch Row / Hardy,0
468,16635,CATAMI:9892,0,,3,1792,1792,42.68699515325191,-84.58228264235602,Pleasant Grove / Reo Rd,0
469,13387,CATAMI:10561,0,,3,160,160,42.68180607491612,-84.54151645154812,Community Mental Health,0
470,6442,CATAMI:9193,0,,3,5467,5467,42.57788061694657,-84.44322073887875,Jefferson / Oak,0
471,14482,CATAMI:10389,0,,3,4560,4560,42.6693594814729,-84.56368469781802,Miller / Washington,0
472,12269,CATAMI:9804,0,,3,1718,1718,42.72714980623167,-84.45378775282079,Gr. River / Northwind D,0
473,16172,CATAMI:10349,0,,3,3494,3494,42.68312807580929,-84.57844254452347,Jolly / Hughes Rd,0
474,15642,CATAMI:8922,0,,3,4856,4856,42.7299376992717,-84.52451030400395,Kalamazoo / Leslie,0
475,17221,CATAMI:8050,0,,3,3887,3887,42.76073942076233,-84.49848397349479,Lake Lansing Rd / Marfitt Rd,0
476,15404,CATAMI:10718,0,,3,4570,4570,42.68382954567098,-84.56770465971768,MLK / Jolly Rd,0
477,12049,CATAMI:9449,0,,3,4811,4811,42.71332725267515,-84.48247607152302,Commuter Lot 89-2,0
478,17120,CATAMI:10541,0,,3,7,7,42.72930817503686,-84.55111219952784,CATA Trans Center,0
479,15655,CATAMI:10396,0,,3,4742,4742,42.66928753584606,-84.57889220469121,Miller / Woodgate,0
480,13441,CATAMI:9465,0,,3,4815,4815,42.72411909670106,-84.49121746518401,Birch / Wilson,0
481,6537,CATAMI:9190,0,,3,5469,5469,42.58216138174351,-84.45210602379342,Columbia / Cedar,0
482,12963,CATAMI:10113,0,,3,5950,5950,42.68318203502943,-84.53454671894805,Tranter / Jolly,0
483,15702,CATAMI:10798,0,,3,1737,1737,42.73368786507071,-84.51969894020907,Michigan / Magnolia Av,0
484,14931,CATAMI:8934,0,,3,6045,6045,42.73371484468077,-84.50431156926878,Michigan / Morgan,0
485,18182,CATAMI:8787,0,,3,3607,3607,42.7037584843055,-84.59198630877599,Deerfield / Brisbane Dr,0
486,12044,CATAMI:10248,0,,3,3290,3290,42.63974486282512,-84.5431172417453,Eifert / W Holt Rd,0
487,15930,CATAMI:9857,0,,3,1758,1758,42.69758914680402,-84.56509663074475,Holmes / Washington Ave,0
488,14778,CATAMI:10219,0,,3,4370,4370,42.70803924910245,-84.53825191873028,Pennsylvania / Pacific Ave,0
489,12823,CATAMI:10134,0,,3,3367,3367,42.70106052329903,-84.51501348126115,Stoneleigh / Fireside Dr,0
490,11632,CATAMI:8851,0,,3,4474,4474,42.68980103269865,-84.50882615735296,Dunckel Rd / I-496 / 127,0
491,15469,CATAMI:10214,0,,3,4366,4366,42.71771593591235,-84.53817097990009,Pennsylvania after Fayette St,0
492,24005,CATAMI:10801,0,,3,6129,6129,42.74113423744858,-84.6445605755889,Saginaw / Brookside Dr,0
493,25587,CATAMI:9984,0,,3,6140,6140,42.73421846406865,-84.67250245841267,Marketplace / LAFCU,0
494,12136,CATAMI:10166,0,,3,6072,6072,42.66918861060915,-84.5328829763274,Miller / Beechfield,0
495,17275,CATAMI:10353,0,,3,3498,3498,42.68316404862271,-84.59303851356852,Jolly / Wainwright Ave,0
496,11422,CATAMI:7912,0,,3,4846,4846,42.7158093768011,-84.46239424843147,Hag Across from Glenwood Apt,0
497,14063,CATAMI:8900,0,,3,2842,2842,42.72920924979995,-84.49455394362869,Kalamazoo / Harrison,0
498,18167,CATAMI:10432,0,,3,3036,3036,42.73265364668489,-84.56424227642603,Allegan / Butler,0
499,16727,CATAMI:9867,0,,3,1768,1768,42.68675233676133,-84.58367658887603,Reo / Sidney St,0
500,16892,CATAMI:10409,0,,3,3449,3449,42.68302915057239,-84.58805627890989,Jolly / Ingham St,0
501,16797,CATAMI:10362,0,,3,5642,5642,42.67329850454236,-84.59177946509882,Hill Vocational Center,0
502,14544,CATAMI:9630,0,,3,6094,6094,42.71185236732494,-84.53013105610079,Mt. Hope / Lindbergh,0
503,17968,CATAMI:8789,0,,3,5757,5757,42.69968456318572,-84.59199530197934,Deerfield / Herrick,0
504,11878,CATAMI:10569,0,,3,6109,6109,42.67784906543995,-84.52341313319465,Aurelius / Ingham County Road Department,0
505,13507,CATAMI:10289,0,,3,3527,3527,42.68846104539877,-84.53800010903635,Pennsylvania / Samantha St,0
506,13319,CATAMI:10071,0,,3,5712,5712,42.66189512268831,-84.5521374247103,Edgewood / Celebration Dr.,0
507,14412,CATAMI:10074,0,,3,5690,5690,42.66313618475129,-84.56561823653934,Edgewood / Washington,0
508,19543,CATAMI:7688,0,,3,3674,3674,42.73377779710425,-84.58483671210882,Michigan / Hathaway St,0
509,12881,CATAMI:8863,0,,3,2581,2581,42.71657379908628,-84.49360066407307,Harrison / Crescent Rd,0
510,16635,CATAMI:10363,0,,3,4566,4566,42.66916163099909,-84.59151866220154,Miller / Wise Rd,0
511,11799,CATAMI:9183,0,,3,5911,5911,42.71975739307392,-84.46202552709391,Hagadorn / Hannah Blvd,0
512,16228,CATAMI:10398,0,,3,4565,4565,42.66929652904942,-84.58625763823889,Miller / Picardy St,0
513,18511,CATAMI:7698,0,,3,5753,5753,42.74089142095801,-84.5596197699016,Saginaw / Pine,0
514,16437,CATAMI:10411,0,,3,3451,3451,42.68301116416568,-84.58203083266208,Jolly / Pleasant Grove Rd,0
515,15057,CATAMI:10298,0,,3,54,54,42.71221209545914,-84.5380091022397,Penn / Mt Hope,0
516,15750,CATAMI:9676,0,,3,2046,2046,42.73003662450861,-84.52633592428501,Kalamazoo / Shepard,0
517,16226,CATAMI:9829,0,,3,1740,1740,42.73366088546064,-84.52955549108607,Michigan / Custer Ave,0
518,16337,CATAMI:9043,0,,3,3738,3738,42.74336455188061,-84.51545414822554,Grand River / Downer Ave,0
519,17824,CATAMI:9887,0,,3,1787,1787,42.68926144049735,-84.5968336453843,Sumpter / Stillwell Ave,0
520,11960,CATAMI:10250,0,,3,1937,1937,42.63308989234247,-84.54305428932182,Eifert / Wilcox,0
521,18252,CATAMI:8674,0,,3,5997,5997,42.74733055456014,-84.54594110759875,Grand River after Cedar,0
522,23705,CATAMI:9973,0,,3,6128,6128,42.74113423744858,-84.64019887196176,Saginaw / Lincoln Ct,0
523,18374,CATAMI:9882,0,,3,4429,4429,42.68659045910094,-84.60565597787547,Burneway / Seaway Dr,0
524,17480,CATAMI:10726,0,,3,1669,1669,42.76201645563873,-84.50189239756631,Meijer Lake Lansing Boarding Center (East Side),0
525,15189,CATAMI:10393,0,,3,4737,4737,42.6654294516068,-84.5745844602842,Haag Road / Georgetown,0
526,11927,CATAMI:10251,0,,3,5804,5804,42.62801772565029,-84.54300033010169,Eifert / Haddon Hall,0
527,18210,CATAMI:10550,0,,3,15,15,42.68649153386404,-84.60354257508708,Burneway / Waverly,0
528,18722,CATAMI:8978,0,,3,3586,3586,42.73742903766636,-84.56754278205729,Shiawassee / MLK Blvd,0
529,17881,CATAMI:8091,0,,3,3553,3553,42.75008247478674,-84.53452873254135,Vermont / Oak St,0
530,20677,CATAMI:9994,0,,3,1863,1863,42.74823886809898,-84.58646448191605,Willow / Eastfield Rd,0
531,16033,CATAMI:9615,0,,3,6102,6102,42.71209518381552,-84.55339647317999,Mt. Hope / Washington,0
532,11195,CATAMI:8848,0,,3,4472,4472,42.68663542511772,-84.50541773328145,Trappers Cove / Beau Jardin,0
533,10397,CATAMI:9295,0,,3,5595,5595,42.68809232406122,-84.30358327038677,Grand River / Corwin,0
534,18039,CATAMI:8675,0,,3,6005,6005,42.74734854096684,-84.54198409812258,Grand River / Case,0
535,17679,CATAMI:8088,0,,3,3550,3550,42.74577473037973,-84.53771232652899,Pennsylvania / Porter St,0
536,10788,CATAMI:10146,0,,3,5548,5548,42.68217479625368,-84.50375399066078,Pinetree / Jolly,0
